Firmware_Version=1.8;Sensor_Type=TYPE_SEABIRD_SBE37;Slot=9;SensorId=2;
DATE;TIME;TEMPERATURE;CONDUCTIVITY;PRESSION;SALINITY;SOUND SPEED;
 ; ;°C;S/m;dbars;PSU;m/sec;
18/07/2017;01:00:00;4.5766;3.37996;1721.727;34.9724;1497.446;
18/07/2017;01:15:00;4.5748;3.37966;1721.706;34.9707;1497.436;
18/07/2017;01:30:00;4.5746;3.37961;1721.685;34.9705;1497.434;
18/07/2017;01:45:00;4.5708;3.37926;1721.706;34.9704;1497.419;
18/07/2017;02:00:00;4.5709;3.37937;1721.691;34.9715;1497.421;
18/07/2017;02:15:00;4.5685;3.37915;1721.663;34.9715;1497.410;
18/07/2017;02:30:00;4.5658;3.37887;1721.621;34.9711;1497.398;
18/07/2017;02:45:00;4.5788;3.38005;1721.663;34.9712;1497.453;
18/07/2017;03:00:00;4.5679;3.37914;1721.642;34.9720;1497.408;
18/07/2017;03:15:00;4.5848;3.38056;1721.663;34.9708;1497.477;
18/07/2017;03:30:00;4.5966;3.38185;1722.093;34.9732;1497.536;
18/07/2017;03:45:00;4.6017;3.38223;1722.093;34.9723;1497.555;
18/07/2017;04:00:00;4.5946;3.38166;1722.136;34.9731;1497.528;
18/07/2017;04:15:00;4.5970;3.38191;1722.157;34.9735;1497.538;
18/07/2017;04:30:00;4.6171;3.38370;1722.178;34.9733;1497.621;
18/07/2017;04:45:00;4.6179;3.38389;1722.178;34.9747;1497.626;
18/07/2017;05:00:00;4.6143;3.38355;1722.248;34.9744;1497.612;
18/07/2017;05:15:00;4.6325;3.38534;1722.248;34.9762;1497.689;
18/07/2017;05:30:00;4.6152;3.38373;1722.333;34.9754;1497.619;
18/07/2017;05:45:00;4.6171;3.38380;1722.326;34.9743;1497.625;
18/07/2017;06:00:00;4.6069;3.38296;1722.390;34.9753;1497.585;
18/07/2017;06:15:00;4.5916;3.38154;1722.411;34.9747;1497.522;
18/07/2017;06:30:00;4.5750;3.37996;1722.475;34.9738;1497.454;
18/07/2017;06:45:00;4.5591;3.37843;1722.504;34.9725;1497.388;
18/07/2017;07:00:00;4.5471;3.37738;1722.532;34.9728;1497.339;
18/07/2017;07:15:00;4.5336;3.37611;1722.574;34.9722;1497.283;
18/07/2017;07:30:00;4.5317;3.37595;1722.610;34.9723;1497.276;
18/07/2017;07:45:00;4.5412;3.37686;1722.638;34.9730;1497.317;
18/07/2017;08:00:00;4.5280;3.37567;1722.680;34.9729;1497.263;
18/07/2017;08:15:00;4.5187;3.37481;1722.674;34.9726;1497.224;
18/07/2017;08:30:00;4.5254;3.37539;1722.674;34.9723;1497.251;
18/07/2017;08:45:00;4.5175;3.37466;1722.716;34.9720;1497.219;
18/07/2017;09:00:00;4.5180;3.37469;1722.695;34.9720;1497.221;
18/07/2017;09:15:00;4.5128;3.37421;1722.695;34.9717;1497.199;
18/07/2017;09:30:00;4.5199;3.37481;1722.695;34.9714;1497.228;
18/07/2017;09:45:00;4.5249;3.37531;1722.723;34.9720;1497.250;
18/07/2017;10:00:00;4.5336;3.37603;1722.674;34.9712;1497.284;
18/07/2017;10:15:00;4.5332;3.37606;1722.674;34.9720;1497.283;
18/07/2017;10:30:00;4.5330;3.37606;1722.610;34.9722;1497.281;
18/07/2017;10:45:00;4.5292;3.37576;1722.638;34.9726;1497.267;
18/07/2017;11:00:00;4.5389;3.37657;1722.547;34.9720;1497.304;
18/07/2017;11:15:00;4.5386;3.37659;1722.568;34.9726;1497.304;
18/07/2017;11:30:00;4.5648;3.37898;1722.526;34.9730;1497.412;
18/07/2017;11:45:00;4.5806;3.38064;1722.490;34.9757;1497.479;
18/07/2017;12:00:00;4.5945;3.38184;1722.475;34.9751;1497.536;
18/07/2017;12:15:00;4.6280;3.38502;1722.460;34.9770;1497.675;
18/07/2017;12:30:00;4.6380;3.38590;1722.396;34.9768;1497.715;
18/07/2017;12:45:00;4.6241;3.38464;1722.348;34.9767;1497.657;
